_id,title,description,price,author,publisher,copies[0],copies[1],copies[2],copies[3],copies[4],copies[5],__v
25,Implemented human-resource Internet solution,Republican hospital support their painting for. Important vote bad city himself choose deal lead. Remain including us.,98,Zachary Wilson,Sampson Group,25_0,25_1,25_2,25_3,,,
2,User-centric tangible methodology,Cup bring outside off not wife usually. To such citizen me age pass would.\nMuch member ask. Us house ago any. Truth describe factor determine nearly.,51,Joshua Alvarez,Gonzalez-Coffey,2_0,2_1,2_2,2_3,,,
3,Exclusive foreground protocol,Story address huge there we. Light seem professor career soldier. Station alone seven Mrs. Source world generation age address something of.,35,Louis Davis,Yates Inc,3_0,3_1,3_2,,,,
10,Phased systemic forecast,Exactly section interest participant soldier history area. Camera cup read clear federal understand good. Focus be response animal raise size record.,48,Crystal Baker,Dickerson-Russell,10_0,10_1,10_2,,,,
14,Exclusive interactive archive,About recent focus miss scientist body lawyer. Issue trouble you ever. Actually east just during against drop democratic eat.,60,Mr. Anthony Sanchez,"Anderson, Black and Harmon",14_0,14_1,14_2,14_3,14_4,,
17,Sharable next generation archive,Real man south degree. Foot both firm hair or shake.\nSouthern sing result off rock. Pattern game example trial fund. Here traditional what buy.,52,Lori Hobbs,"Jones, Ellis and House",17_0,17_1,17_2,17_3,,,
28,Synergistic contextually-based application,Physical military art discover us. Send item go majority senior may executive.,62,Raymond Vaughan,Lewis-Johnson,28_0,28_1,28_2,28_3,28_4,,
29,Phased heuristic leverage,Nice heavy word imagine.\nDown analysis play your smile. Difference world society.\nClass impact would. Over rest kid.\nAbout end across. Sing dark stock at follow memory. Onto company expect.,88,Richard Burch,Roy-Daniels,29_0,29_1,29_2,,,,
0,Reputation,An Album,60,Taylor Swift,TS,0_0,0_1,0_2,0_3,,,
12,Managed mobile budgetary management,About result character image network. Song big cost help. So personal address. Personal his mouth daughter himself idea.\nDemocrat apply effect evening see.,38,Thomas Dyer,Owen-Smith,12_0,12_1,,,,,
16,Focused even-keeled algorithm,Western citizen power player design. Mean along section road.\nFilm wall local difficult far adult. Significant character focus including teacher put.\nOfficial create floor dark return mouth.,40,Nichole Baker,Leach Group,16_0,16_1,16_2,,,,
7,Implemented client-server superstructure,Physical history school now. Magazine vote cup number. Machine yard add shoulder. Such learn keep both audience.,16,Erik Tate,Hansen-Garcia,7_0,7_1,7_2,7_3,,,
11,Programmable actuating hierarchy,Field kind put here sea someone room.\nProperty particularly yourself reality. This across month notice attack early contain. Full offer culture work nearly them.,40,Hector Miller,Richard and Sons,11_0,11_1,11_2,11_3,,,
13,Polarized cohesive throughput,Show sea participant cold try. Miss past media they recently. Follow friend use apply catch something.,26,Olivia King,Robinson PLC,13_0,13_1,13_2,,,,
2344,Midnights,An album by TS,300,TS,Tay,3,,,,,,0
3000,Perfect,A Song,200,One Direction,one D, 3000_2, 3000_3,,,,,1
1500,New World,New World Book,60,Aldous,Hu, 1500_2, 1500_3, 1500_4, 1500_5,,,1
333,Eras Tour _,Tour by Taylor Swift,100,Taylor Swift,TS, 333_2, 333_3, 333_4, 333_5, 333_6,,1
